name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Sao Paulo,Brazil",2015-10-28,23.6,19.1,21.1,23.6,19.1,21.1,17.1,78.5,0.1,100,4.17,rain,,,,17.4,171.2,1017.3,92.3,9,258.6,21.5,8,,2015-10-28T06:23:25,2015-10-28T19:17:40,0.54,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-10-29,23.6,18.1,20.4,23.6,18.1,20.4,16.3,77.8,0,0,0,,,,37.1,26.5,128.8,1019.5,92.2,9.5,285.7,23.5,9,,2015-10-29T06:22:43,2015-10-29T19:18:13,0.57,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-10-30,29.7,17.8,22.5,29.9,17.8,22.5,15.9,68.4,0,0,0,,,,37.1,23.4,98.2,1017.6,51.4,10.3,328.3,27.2,10,,2015-10-30T06:22:02,2015-10-30T19:18:47,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-10-31,29,19,23.6,28.6,19,23.6,16.5,67,0,0,0,,,,31.7,20.6,43.4,1015.4,73.8,9.6,207.5,17.1,8,,2015-10-31T06:21:22,2015-10-31T19:19:20,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-01,23.3,19,20.3,23.3,19,20.3,18.1,87.7,26,100,12.5,rain,,,,15.9,113.5,1016.7,93.2,7.4,193.5,16,7,,2015-11-01T06:20:44,2015-11-01T19:19:55,0.67,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-02,26.6,19,22.1,26.6,19,22.1,18.4,80.5,14,100,8.33,rain,,,24.1,15,82.8,1015.1,90,8.3,225.3,18.5,7,,2015-11-02T06:20:06,2015-11-02T19:20:30,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-03,25.6,20.1,22.5,25.6,20.1,22.5,18.7,79.9,6,100,8.33,rain,,,37.1,18.6,324.3,1015.9,92.5,9.5,234.4,19.5,8,,2015-11-03T06:19:30,2015-11-03T19:21:05,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-04,26.6,18.9,21.8,26.6,18.9,21.8,18.4,81.8,19,100,8.33,rain,,,50,23.9,251.9,1016.3,85.1,7.5,125,10.2,4,,2015-11-04T06:18:55,2015-11-04T19:21:41,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-05,25,18.1,21.5,25,18.1,21.5,18.1,81.6,0,0,0,,,,,14.4,225.5,1016,77.3,9.4,230.2,19.1,7,,2015-11-05T06:18:21,2015-11-05T19:22:17,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-06,22.5,18.5,20.2,22.5,18.5,20.2,17.4,84.2,0.4,100,4.17,rain,,,38.9,21.6,176.2,1018.4,93.5,7.6,157.6,13,5,,2015-11-06T06:17:48,2015-11-06T19:22:54,0.83,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-07,20.2,17.1,18.2,20.2,17.1,18.2,15.7,85.5,0,0,0,,,,,19,143.9,1020,98.2,9.2,287.5,23.9,10,,2015-11-07T06:17:16,2015-11-07T19:23:31,0.86,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-08,24,18,20.2,24,18,20.2,17,82.3,0.1,100,4.17,rain,,,,19.5,115.7,1018.6,89.7,9,240.9,19.9,7,,2015-11-08T06:16:46,2015-11-08T19:24:09,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-09,28,19,22.4,29.2,19,22.5,18.4,78.9,0.7,100,8.33,rain,,,46.4,21.4,105.1,1019.2,67.4,8.5,244.3,20.2,8,,2015-11-09T06:16:17,2015-11-09T19:24:47,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-10,31,19.9,23.8,31.2,19.9,24,18.5,74.3,0,0,0,,,,50,20.9,121.7,1019.8,64.6,7.2,275.9,22.8,9,,2015-11-10T06:15:49,2015-11-10T19:25:25,0.96,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
